title;author;booklink;ratingscount;rating;genre1;genre2;genre3;genre4
The Illuminatus! Trilogy (Paperback);Robert Shea;https://goodreads.com/book/show/57913.The_Illuminatus_Trilogy;13927;4,01;Fiction;Science Fiction;Fantasy;Humor
The Crying of Lot 49 (Paperback);Thomas Pynchon;https://goodreads.com/book/show/2794.The_Crying_of_Lot_49;61668;3,70;Fiction;Classics;Literature;Novels
The Biggest Secret: The Book That Will Change the World (Paperback);David Icke;https://goodreads.com/book/show/664326.The_Biggest_Secret;1332;3,78;Nonfiction;History;Fantasy;Paranormal
The Da Vinci Code (Robert Langdon, #2);Dan Brown;https://goodreads.com/book/show/968.The_Da_Vinci_Code;1723872;3,82;Fiction;Mystery;Thriller;Suspense
The Girl Who Kicked the Hornet's Nest (Millennium, #3);Stieg Larsson;https://goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest;591484;4,22;Fiction;Mystery;Thriller;Mystery
Rule by Secrecy: The Hidden History that Connects the Trilateral Commission, the Freemasons & the Great Pyramids (Paperback);Jim Marrs;https://goodreads.com/book/show/301801.Rule_by_Secrecy;1598;3,92;History;Nonfiction;Politics;Occult
Digital Fortress (Paperback);Dan Brown;https://goodreads.com/book/show/11125.Digital_Fortress;512780;3,64;Fiction;Thriller;Mystery;Suspense
Deception Point (Mass Market Paperback);Dan Brown;https://goodreads.com/book/show/976.Deception_Point;544708;3,70;Fiction;Thriller;Mystery;Suspense
Foucault's Pendulum (Paperback);Umberto Eco;https://goodreads.com/book/show/17841.Foucault_s_Pendulum;54747;3,90;Fiction;Mystery;Historical;Historical Fiction
Inferno (Robert Langdon, #4);Dan Brown;https://goodreads.com/book/show/17212231-inferno;416584;3,83;Fiction;Thriller;Mystery;Suspense
The Lost Symbol (Robert Langdon, #3);Dan Brown;https://goodreads.com/book/show/6411961-the-lost-symbol;469616;3,69;Fiction;Mystery;Thriller;Suspense
1984 (Kindle Edition);George Orwell;https://goodreads.com/book/show/40961427-1984;2601172;4,17;Classics;Fiction;Science Fiction;Science Fiction
